mode,status,outcome,pnl,reason,structure_age,reclaim_depth,is_expansion,retest_count,active_level,exit_time
SAMPLING_MODE,DEAD,WIN,35.0,Reverse,83,17.0,True,1,16223.75,1701095820000
SAMPLING_MODE,DEAD,WIN,26.35226406589936,TP Hit,25,0.25,True,1,16178.0,1701095940000
SAMPLING_MODE,DEAD,WIN,2.071295205158094,SL Hit (Same Bar),40,2.0,True,1,16240.0,1701097860000
SAMPLING_MODE,SURVIVOR,WIN,15.336465136111656,TP Hit,16,1.5,False,1,16251.0,1701100800000
SAMPLING_MODE,DEAD,LOSS,-2.1639748057314137,SL Hit (Same Bar),63,0.25,True,1,16251.25,1701104460000
SAMPLING_MODE,SURVIVOR,WIN,5.0,TP Hit,37,0.5,False,1,16268.5,1701107340000
SAMPLING_MODE,SURVIVOR,WIN,6.284489299207053,TP Hit,37,0.75,False,1,16262.75,1701109980000
SAMPLING_MODE,SURVIVOR,WIN,5.0,TP Hit,67,0.75,False,1,16243.75,1701117840000
SAMPLING_MODE,DEAD,WIN,18.999595602093905,TP Hit,37,1.25,True,1,16191.5,1701182580000
SAMPLING_MODE,DEAD,WIN,11.335983832643253,TP Hit,66,4.5,True,1,16175.5,1701182820000
SAMPLING_MODE,SURVIVOR,LOSS,-6.687151073150744,SL Hit (Same Bar),33,3.75,False,1,16198.75,1701186960000
SAMPLING_MODE,DEAD,LOSS,-7.376107598334784,SL Hit,82,2.5,True,1,16248.25,1701191280000
SAMPLING_MODE,SURVIVOR,WIN,24.30861676888162,TP Hit,26,4.75,False,1,16326.75,1701273900000
SAMPLING_MODE,SURVIVOR,LOSS,-4.735408149241266,SL Hit,43,0.75,False,1,16288.25,1701282600000
SAMPLING_MODE,SURVIVOR,LOSS,-9.71015203325078,SL Hit,29,2.25,False,1,16261.75,1701286500000
SAMPLING_MODE,DEAD,LOSS,-1.910587328624388,SL Hit (Same Bar),43,0.75,True,1,16238.5,1701289200000
SAMPLING_MODE,DEAD,LOSS,-28.04436631211138,SL Hit,29,12.0,True,1,16237.5,1701354840000
SAMPLING_MODE,SURVIVOR,WIN,29.450600312149614,TP Hit,21,4.25,False,1,16187.0,1701357960000
SAMPLING_MODE,DEAD,WIN,15.490394117528922,TP Hit,57,1.5,True,1,16120.0,1701360060000
SAMPLING_MODE,DEAD,LOSS,-9.768134762416594,SL Hit,16,1.5,True,1,16097.25,1701361680000
SAMPLING_MODE,DEAD,WIN,0.5023094705975382,SL Hit (Same Bar),51,1.0,True,1,16100.0,1701367020000
