entry_time,exit_time,pnl,reason
1701063600000,1701063600000,-1.3962872293595865,SL Hit
1701071400000,1701071400000,5.0,TP Hit
1701075900000,1701075900000,-1.3860997306946956,SL Hit
1701076200000,1701076200000,5.0,TP Hit
1701088500000,1701088500000,-4.761908260428754,SL Hit
1701098760000,1701098760000,-11.845588785065047,SL Hit
1701100740000,1701100740000,10.336465136111656,TP Hit
1701107340000,1701107340000,5.0,TP Hit
1701109620000,1701109620000,6.726319706693175,TP Hit
1701109980000,1701109980000,6.284489299207053,TP Hit
1701112680000,1701112680000,-4.1977089145402715,SL Hit
1701117840000,1701117840000,5.0,TP Hit
1701126300000,1701126300000,-15.871153920787037,SL Hit
1701129360000,1701129360000,3.5,Flip to Long
1701129720000,1701129720000,-0.8406294792221161,SL Hit
1701137160000,1701137160000,-0.4194317812252848,SL Hit
1701139560000,1701139560000,-0.33636857596138725,SL Hit
1701140160000,1701140160000,-0.8358231330275885,SL Hit
1701161760000,1701161760000,-4.690944164445682,SL Hit
1701170340000,1701170340000,-1.604668603904429,SL Hit
1701186960000,1701186960000,-11.187151073150744,SL Hit
1701218520000,1701218520000,5.7983427500366815,TP Hit
1701252000000,1701252000000,-4.826232038820308,SL Hit
1701252720000,1701252720000,-3.6003024447054486,SL Hit
1701254940000,1701254940000,-3.1867772507102927,SL Hit
1701261180000,1701261180000,-1.024734917551541,SL Hit
1701265320000,1701265320000,-7.585900733763992,SL Hit
1701265560000,1701265560000,-2.9979405656267772,SL Hit
1701265920000,1701265920000,-3.8950244948900945,SL Hit
1701266580000,1701266580000,16.371807544659532,TP Hit
1701273960000,1701273960000,26.30861676888162,TP Hit
1701282600000,1701282600000,-3.735408149241266,SL Hit
1701286500000,1701286500000,-7.210152033250779,SL Hit
1701287520000,1701287520000,-2.363768366736622,SL Hit
1701308820000,1701308820000,7.427488364759483,TP Hit
1701315900000,1701315900000,-0.08691197251391714,SL Hit
1701323880000,1701323880000,7.633527093013981,TP Hit
1701350760000,1701350760000,-5.271239287809294,SL Hit
