start,end,duration,type
2023-11-27 16:59:00-05:00,2023-11-27 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2023-11-28 16:59:00-05:00,2023-11-28 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2023-11-29 16:59:00-05:00,2023-11-29 18:01:00-05:00,0 days 01:02:00,MISSING DATA
2023-11-30 16:59:00-05:00,2023-11-30 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2023-12-01 11:59:00-05:00,2023-12-03 18:00:00-05:00,2 days 06:01:00,WEEKEND/HOLIDAY
2023-12-04 16:59:00-05:00,2023-12-04 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2023-12-05 16:59:00-05:00,2023-12-05 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2023-12-06 16:59:00-05:00,2023-12-06 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2023-12-07 16:59:00-05:00,2023-12-07 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2023-12-08 11:59:00-05:00,2023-12-10 18:00:00-05:00,2 days 06:01:00,WEEKEND/HOLIDAY
2023-12-11 16:59:00-05:00,2023-12-11 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2023-12-12 16:59:00-05:00,2023-12-12 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2023-12-13 16:59:00-05:00,2023-12-13 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2023-12-14 16:59:00-05:00,2023-12-14 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2023-12-15 11:59:00-05:00,2023-12-17 18:00:00-05:00,2 days 06:01:00,WEEKEND/HOLIDAY
2023-12-18 16:59:00-05:00,2023-12-18 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2023-12-19 16:59:00-05:00,2023-12-19 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2023-12-20 16:59:00-05:00,2023-12-20 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2023-12-21 16:59:00-05:00,2023-12-21 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2023-12-22 11:59:00-05:00,2023-12-25 18:00:00-05:00,3 days 06:01:00,WEEKEND/HOLIDAY
2023-12-26 16:59:00-05:00,2023-12-26 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2023-12-27 16:59:00-05:00,2023-12-27 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2023-12-28 16:59:00-05:00,2023-12-28 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2023-12-29 11:59:00-05:00,2024-01-01 18:00:00-05:00,3 days 06:01:00,WEEKEND/HOLIDAY
2024-01-02 16:59:00-05:00,2024-01-02 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-01-03 16:59:00-05:00,2024-01-03 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-01-04 16:59:00-05:00,2024-01-04 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-01-05 11:59:00-05:00,2024-01-07 18:00:00-05:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-01-08 16:59:00-05:00,2024-01-08 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-01-09 16:59:00-05:00,2024-01-09 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-01-10 16:59:00-05:00,2024-01-10 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-01-11 16:59:00-05:00,2024-01-11 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-01-12 11:59:00-05:00,2024-01-14 18:00:00-05:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-01-15 12:59:00-05:00,2024-01-15 18:00:00-05:00,0 days 05:01:00,MISSING DATA
2024-01-16 16:59:00-05:00,2024-01-16 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-01-17 16:59:00-05:00,2024-01-17 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-01-18 16:59:00-05:00,2024-01-18 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-01-19 11:59:00-05:00,2024-01-21 18:00:00-05:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-01-22 16:59:00-05:00,2024-01-22 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-01-23 16:59:00-05:00,2024-01-23 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-01-24 16:59:00-05:00,2024-01-24 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-01-25 16:59:00-05:00,2024-01-25 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-01-26 11:59:00-05:00,2024-01-28 18:00:00-05:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-01-29 16:59:00-05:00,2024-01-29 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-01-30 16:59:00-05:00,2024-01-30 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-01-31 16:59:00-05:00,2024-01-31 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-02-01 16:59:00-05:00,2024-02-01 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-02-02 11:59:00-05:00,2024-02-04 18:00:00-05:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-02-05 16:59:00-05:00,2024-02-05 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-02-06 16:59:00-05:00,2024-02-06 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-02-07 16:59:00-05:00,2024-02-07 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-02-08 16:59:00-05:00,2024-02-08 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-02-09 11:59:00-05:00,2024-02-11 18:00:00-05:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-02-12 16:59:00-05:00,2024-02-12 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-02-13 16:59:00-05:00,2024-02-13 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-02-14 16:59:00-05:00,2024-02-14 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-02-15 16:59:00-05:00,2024-02-15 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-02-16 11:59:00-05:00,2024-02-18 18:00:00-05:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-02-19 12:59:00-05:00,2024-02-19 18:00:00-05:00,0 days 05:01:00,MISSING DATA
2024-02-20 16:59:00-05:00,2024-02-20 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-02-21 16:59:00-05:00,2024-02-21 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-02-22 16:59:00-05:00,2024-02-22 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-02-23 11:59:00-05:00,2024-02-25 18:00:00-05:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-02-26 16:59:00-05:00,2024-02-26 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-02-27 16:59:00-05:00,2024-02-27 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-02-28 16:59:00-05:00,2024-02-28 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-02-29 16:59:00-05:00,2024-02-29 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-03-01 11:59:00-05:00,2024-03-03 18:00:00-05:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-03-04 16:59:00-05:00,2024-03-04 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-03-05 16:59:00-05:00,2024-03-05 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-03-06 16:59:00-05:00,2024-03-06 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-03-07 16:59:00-05:00,2024-03-07 18:00:00-05:00,0 days 01:01:00,MISSING DATA
2024-03-08 11:59:00-05:00,2024-03-10 18:00:00-04:00,2 days 05:01:00,WEEKEND/HOLIDAY
2024-03-11 16:59:00-04:00,2024-03-11 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-03-12 16:59:00-04:00,2024-03-12 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-03-13 16:59:00-04:00,2024-03-13 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-03-14 16:59:00-04:00,2024-03-14 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-03-15 12:59:00-04:00,2024-03-17 18:00:00-04:00,2 days 05:01:00,WEEKEND/HOLIDAY
2024-03-18 16:59:00-04:00,2024-03-18 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-03-19 16:59:00-04:00,2024-03-19 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-03-20 16:59:00-04:00,2024-03-20 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-03-21 16:59:00-04:00,2024-03-21 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-03-22 16:59:00-04:00,2024-03-24 18:00:00-04:00,2 days 01:01:00,WEEKEND/HOLIDAY
2024-03-25 16:59:00-04:00,2024-03-25 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-03-26 16:59:00-04:00,2024-03-26 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-03-27 16:59:00-04:00,2024-03-27 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-03-28 16:59:00-04:00,2024-03-31 18:00:00-04:00,3 days 01:01:00,WEEKEND/HOLIDAY
2024-04-01 16:59:00-04:00,2024-04-01 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-04-02 16:59:00-04:00,2024-04-02 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-04-03 16:59:00-04:00,2024-04-03 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-04-04 16:59:00-04:00,2024-04-04 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-04-05 11:59:00-04:00,2024-04-07 18:00:00-04:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-04-08 16:59:00-04:00,2024-04-08 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-04-09 16:59:00-04:00,2024-04-09 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-04-10 16:59:00-04:00,2024-04-10 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-04-11 16:59:00-04:00,2024-04-11 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-04-12 11:59:00-04:00,2024-04-14 18:00:00-04:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-04-15 16:59:00-04:00,2024-04-15 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-04-16 16:59:00-04:00,2024-04-16 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-04-17 16:59:00-04:00,2024-04-17 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-04-18 16:59:00-04:00,2024-04-18 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-04-19 11:59:00-04:00,2024-04-21 18:00:00-04:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-04-22 16:59:00-04:00,2024-04-22 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-04-23 16:59:00-04:00,2024-04-23 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-04-24 16:59:00-04:00,2024-04-24 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-04-25 16:59:00-04:00,2024-04-25 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-04-26 11:59:00-04:00,2024-04-28 18:00:00-04:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-04-29 16:59:00-04:00,2024-04-29 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-04-30 16:59:00-04:00,2024-04-30 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-05-01 16:59:00-04:00,2024-05-01 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-05-02 16:59:00-04:00,2024-05-02 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-05-03 11:59:00-04:00,2024-05-05 18:00:00-04:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-05-06 16:59:00-04:00,2024-05-06 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-05-07 16:59:00-04:00,2024-05-07 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-05-08 16:59:00-04:00,2024-05-08 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-05-09 16:59:00-04:00,2024-05-09 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-05-10 11:59:00-04:00,2024-05-12 18:00:00-04:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-05-13 16:59:00-04:00,2024-05-13 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-05-14 16:59:00-04:00,2024-05-14 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-05-15 16:59:00-04:00,2024-05-15 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-05-16 16:59:00-04:00,2024-05-16 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-05-17 11:59:00-04:00,2024-05-19 18:00:00-04:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-05-20 16:59:00-04:00,2024-05-20 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-05-21 16:59:00-04:00,2024-05-21 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-05-22 16:59:00-04:00,2024-05-22 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-05-23 16:59:00-04:00,2024-05-23 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-05-24 11:59:00-04:00,2024-05-26 18:00:00-04:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-05-27 12:59:00-04:00,2024-05-27 18:00:00-04:00,0 days 05:01:00,MISSING DATA
2024-05-28 16:59:00-04:00,2024-05-28 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-05-29 16:59:00-04:00,2024-05-29 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-05-30 16:59:00-04:00,2024-05-30 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-05-31 11:59:00-04:00,2024-06-02 18:00:00-04:00,2 days 06:01:00,WEEKEND/HOLIDAY
